Region,Country,State,Language,URL,Active,Name of Newspaper,Misc
Eastern African Newspapers,Burundi,,English,http://www.newstimeafrica.com/,not active,NTA Newstime,
Eastern African Newspapers,Comoros,,French,https://www.alwatwan.net/,active,A-Watwan,
Eastern African Newspapers,Comoros,,French,http://www.comores-infos.net/,active,Comores Infos,
Eastern African Newspapers,Comoros,,n/a,n/a,not active,Kashkazi,
Eastern African Newspapers,Comoros,,English,http://lagazettedescomores.com/,active,La Gazette des Comores,
Eastern African Newspapers,Comoros,,French,https://www.mayottehebdo.com/,active,Mayotte Hebdo,
Eastern African Newspapers,Djibouti,,Arabic / English / French,http://www.adi.dj/,active,Agence Djiboutienne d'Information,
Eastern African Newspapers,Djibouti,,English / French,https://allafrica.com/djibouti/,active,allAfrica.com Djibouti,
Eastern African Newspapers,Djibouti,,French,http://www.hch24.com/,active,HCH24 - Horn Africa ,
Eastern African Newspapers,Djibouti,,French,http://www.lanationdj.com/,active,La Nation.dj,
Eastern African Newspapers,Djibouti,,n/a,http://www.newstimeafrica.com/,not active,NTA Newstime,
Eastern African Newspapers,Eritrea,,n/a,n/a,not active,Capitaleritrea News,
Eastern African Newspapers,Eritrea,,n/a,n/a,not active,NTA Newstime ,
Eastern African Newspapers,Eritrea,,Arabic ,https://www.farajat.net/ar/,active,Farajat ,
Eastern African Newspapers,Eritrea,,English,http://www.shabait.com/,active,Shabait.com,
Eastern African Newspapers,Eritrea,,n/a,n/a,not active,Shaebia,
Eastern African Newspapers,Ethiopia,,n/a,n/a,not active,Abesaha Bunna Bet,
Eastern African Newspapers,Ethiopia,,Arabic,https://www.addisadmassnews.com/,active,Addis Admass,
Eastern African Newspapers,Ethiopia,,English,http://addistribune.com/,active,Addis Tribune,
Eastern African Newspapers,Ethiopia,,n/a,n/a,not active,Addis Zemen,
Eastern African Newspapers,Ethiopia,,n/a,n/a,not active,Al Alem,
Eastern African Newspapers,Ethiopia,,n/a,n/a,not active,Bariisaa,
Eastern African Newspapers,Ethiopia,,n/a,n/a,not active,Chewata,
Eastern African Newspapers,Ethiopia,,English,https://allafrica.com/view/publisher/editorial/editorial/id/00010131.html,active,The Ethiopian Herald,
Eastern African Newspapers,Ethiopia,,n/a,n/a,not active,Ethiopian News,
Eastern African Newspapers,Ethiopia,,Arabic,https://www.ethiopianreporter.com/,active,Ethiopian Reporter,
Eastern African Newspapers,Ethiopia,,n/a,n/a,not active,Negat ,
Eastern African Newspapers,Ethiopia,,Arabic,https://newbusinessethiopia.com/,active,New Business Ethiopia,
Eastern African Newspapers,Ethiopia,,n/a,n/a,not active,NTA Newstime,
