College / University,URL,Phone number,Address,Second Address,Email,Notes
Alabama A & M University,http://www.aamu.edu/Pages/default.aspx,(256) 372-5000,"4900 Meridian Street North
Normal, Alabama 35762","P. O. Box 908 (Undergrad)
or P. O. Box 998 (Graduate)
Normal, Alabama 35762",info@aamu.edu,
Alabama State University,http://www.alasu.edu/index.aspx,334-229-4100,"915 S. Jackson Street
Montgomery, AL 36104","P.O. Box 271
Montgomery, AL 36101",websitefeedback@alasu.edu,
Albany State University,http://www.asurams.edu/,229-430-4600,"504 College Drive
Albany, GA 31705","2400 Gillionville Rd
Albany, GA 31707",,
Alcorn State University,http://www.alcorn.edu/, (601) 877-6100,"1000 ASU Drive
Lorman, Mississippi 39096-7500", ,,
Allen University,http://allenuniversity.edu/,(803) 376-5700 ,"1530 Harden Street
Columbia, SC 29204", ,webmaster@allenuniversity.edu,
Arkansas Baptist College,http://www.arkansasbaptist.edu/, (877)-643-5390,"1600 Dr. Martin Luther King, Jr. Drive 
Little Rock, AR 72202", ,,
Benedict College,http://www.benedict.edu/,  (803) 253-5000,"Benedict College, 1600 Harden Street, Columbia, SC 29204", ,http://www.benedict.edu/forms/bc-feedback_form-web_dev.html,
Bennett College for Women,http://www.bennett.edu/, (336) 517-2100,"900 E. Washington St, Greensboro, NC 27401", ,http://www.bennett.edu/contact/,
Bethune-Cookman University,http://www.cookman.edu/, +1 386-481-2000,"640 Dr Mary McLeod Bethune Blvd
Daytona Beach, Florida", ,webmaster@cookman.edu,
Bishop State Community College,https://www.bishop.edu/, 251-405-7000,"351 North Broad Street
Mobile, Alabama 36603", ,"jordan@bishop.edu
",
Bluefield State College,https://www.bluefieldstate.edu/, 304-327-4000,"219 Rock St.
Bluefield, WV 24701"," 300 University Drive
Beaver, WV 25813",,
Bowie State University,https://www.bowiestate.edu/, 301-860-4000,"14000 Jericho Park Road, Bowie, MD 20715-9465", ,,
Central State University,http://www.centralstate.edu/index.php, 937-376-6011,"1400 Brush Row Road, PO Box 1004, Wilberforce, Ohio 45384", ,publicrelations@centralstate.edu,
Cheyney University of Pennsylvania,http://www.cheyney.edu/, +1 610-399-2121,"1837 University Cir
Cheyney, Pennsylvania", ,admissions@cheyney.edu,
Claflin University,http://www.claflin.edu/, (803) 535-5000,"400 Magnolia Street
Orangeburg, SC 29115", ,admissions@claflin.edu,
Clark Atlanta University,http://www.cau.edu/, (404) 880-8000,"223 James P. Brawley Dr, SW
Atlanta, GA 30314", ,info@cau.edu,
Clinton Junior College,http://www.clintonjuniorcollege.edu/, ,, ,,Page Not Found
Coahoma Community College,http://www.coahomacc.edu/, + 1 (662)-627-2571,"3240 Friars Point Rd, Clarksdale, MS 38614", ,,
Concordia College-Selma,http://www.concordiaselma.edu/, ,, ,,Page Not Found
Coppin State University,https://www.coppin.edu/, 410.951.3000,"2500 West North Avenue, Baltimore, MD 21216-3698", ,webmaster@coppin.edu,
Delaware State University,https://www.desu.edu/, 302.857.6060,"1200 N. DuPont HighwayDover, DE 19901", ,https://www.desu.edu/admissions/request-info,
Denmark Technical College,http://www.denmarktech.edu/, (803) 793-5176,"1126 Solomon Blatt Blvd.
Denmark, South Carolina
29042-0327"," P.O. Box 327
Denmark, South Carolina
29042-0327",,
Dillard University,http://www.dillard.edu/, (504) 283 - 8822,"2601 Gentilly Boulevard, New Orleans Louisiana 70122 ", , nsears@dillard.edu,
Edward Waters College,https://www.ewc.edu/, (904) 470-8000,"21 E Union St, Jacksonville, FL 32202, USA", ,info@ewc.edu,
Elizabeth City State University,http://www.ecsu.edu/, 252.335.3400,"1704 Weeksville Road Elizabeth City, NC 27909", ,admissions@ecsu.edu,
Fayetteville State University,https://www.uncfsu.edu/, 910-672-1111,"1200 Murchison Road
Fayetteville , NC 28301", ,admissions@uncfsu.edu,
Fisk University,https://www.fisk.edu/, 615.329.8500 ,"1000 17th Avenue N.
Nashville, TN 37208", ,webmaster@fisk.edu,
Florida Agricultural and Mechanical University,http://www.famu.edu/, 850.599.3000,"1601 S. Martin L. King Jr. Blvd., Tallahassee, FL 32307", ,http://www.famu.edu/main/feedback.php,
Florida Memorial University,http://www.fmuniv.edu/, 305-626-3600,"15800 N.W. 42nd Ave
Miami Gardens, FL 33054", ,admissions@fmuniv.edu,
Fort Valley State University,http://www.fvsu.edu/, (1-877-462-3878),"1005 State University Dr
Fort Valley, GA 31030", ,,
Gadsden State Community College,http://www.gadsdenstate.edu/, (256) 549-8200,"1001 George Wallace Dr
Gadsden, AL 35903", ,,
Grambling State University,http://www.gram.edu/, (318) 274-3811 ,"403 Main Street, Grambling, Louisiana 71245", ,admissions@gram.edu,
H Councill Trenholm State Technical College,https://www.trenholmstate.edu/, 334-420-4200,"1225 Air Base Blvd
Montgomery, Alabama 36108"," Post Office Box 10048
Montgomery, Alabama 36108",https://www.trenholmstate.edu/contact-us/,
Hampton University,http://www.hamptonu.edu/, 757.727.5000,"100 Cemetery Rd.
Hampton, VA  23668", ,http://cit.hamptonu.edu/contact/www_feedback.cfm,
Harris-Stowe State University,http://go.hssu.edu/?CFID=5485760&CFTOKEN=29550137, (314) 340-3366,"3026 Laclede Ave., St. Louis, MO 63103", , webmaster@hssu.edu,
Howard University,https://www2.howard.edu/, (202) 806-6100,"2400 Sixth Street, NW
Washington, D.C. 20059", ,hugsadmission@howard.edu,
Huston-Tillotson University,http://htu.edu/, 512.505.3000,"900 Chicon Street, Austin, Texas 78702-2795", ,webmaster@htu.edu,
Interdenominational Theological Center,https://www.itc.edu/, 404-527-7794,"700 M.L.K. Jr Dr SW
Atlanta, GA 30314", ,Admissions@itc.edu,
J F Drake State Technical College,http://www.drakestate.edu/, 256.539.8161,"3421 Meridian Street North Huntsville, AL 35811", ,,
Jackson State University,http://www.jsums.edu/, 601-979-2121,"1400 John R. Lynch Street | Jackson, MS | 39217", ,http://www.jsums.edu/webservices/feedback/,
Jarvis Christian College,https://www.jarvis.edu/, 903-730-4890,"P.O. Box 1470, Hawkins, Texas, 75765"," Private Road 7631 Hwy 80 E
Hawkins, TX 75765",https://www.jarvis.edu/contact-us,
Johnson C Smith University,https://www.jcsu.edu/, 704.378.1010,"100 Beatties Ford Road, Charlotte, NC 28216", ,webmaster@jcsu.edu,
Kentucky State University,https://kysu.edu/, (502) 597-6000,"400 East Main St.
Frankfort, Ky. 40601", ,admissions@kysu.edu,
Lane College,http://www.lanecollege.edu/, ,, ,,Page Not Found
Langston University,http://www.lunet.edu/, ,, ,,Page Not Found
Lawson State Community College-Birmingham Campus,http://www.lawsonstate.edu/, 205.925.2515,"3060 Wilson Road, SW 
Birmingham, AL 35221"," 1100 Ninth Avenue SW 
Bessemer, AL 35022",,
Le Moyne-Owen College,http://www.loc.edu/, (901)435-1000,"807 Walker Avenue
Memphis, TN 38126", ,contact@loc.edu,
Lincoln University,https://www.lincolnu.edu/pages/1.asp, 573-681-5000,"820 Chestnut St, Jefferson City, MO 65101", ,helpdesk@lincolnu.edu,
Lincoln University of Pennsylvania,http://www.lincoln.edu/, 484-365-8000,"1570 Baltimore Pike
Lincoln University, PA 19352", ,lucomm@lincoln.edu,
Livingstone College,http://livingstone.edu/, 704.216.6000,"701 W. Monroe St.
Salisbury, North Carolina 28144", ,info@livingstone.edu,
Meharry Medical College,http://www.mmc.edu/, +1 615-327-6000,"1005 Dr DB Todd Jr Blvd
Nashville, Tennessee", ,,
Miles College,http://www.miles.edu/, 205.929.1000,"5500 Myron Massey Boulevard
Fairfield, Alabama 35064", ,http://www.miles.edu/content/request-more-info,
Mississippi Valley State University,http://www.mvsu.edu/, 662.254.9041,"14000 Highway 82 W., Itta Bena, MS 38941", ,,
Morehouse College,http://www.morehouse.edu/, 470.639.0999,"830 Westview Drive SW, Atlanta, GA 30314", ,,
Morehouse School of Medicine,http://www.msm.edu/, 404-752-1500,"720 Westview Drive
Atlanta, GA 30310", ,,
Morgan State University,https://www.morgan.edu/, 443-885-3333,"1700 East Cold Spring Lane
Baltimore, Maryland 21251", ,admissions@morgan.edu,
Morris College,http://www.morris.edu/, 803-934-3200,"100 W. College Street
Sumter, SC 29150-3599", ,webcomment@morris.edu,
Norfolk State University,http://www.nsu.edu/, 757-823-8600,700 Park Avenue Norfolk VA 23504, ,webmaster@nsu.edu,
North Carolina A & T State University,http://www.ncat.edu/, 336.334.7500,"1601 E. MARKET STREET,
GREENSBORO, NC, 27411", ,uncomm@ncat.edu,
North Carolina Central University,http://www.nccu.edu/, 919-530-6100,"1801 Fayetteville St.
Durham, NC 27707", ,dnollan@nccu.edu,
Oakwood University,http://www.oakwood.edu/, 256.726.7000,"7000 Adventist Blvd NW, Huntsville, AL 35896", ,admission@oakwood.edu,
Paine College,https://www.paine.edu/web/mycampus/home,  (706) 821-8200,"1235 Fifteenth Street · Augusta, GA 30901", ,,
Paul Quinn College,http://www.pqc.edu/, (214) 376-1000,"Dallas, TX 75241", ,,
Philander Smith College,https://www.philander.edu/, 501-375-9845,"900 WEST DAISY L GATSON BATES DRIVE, LITTLE ROCK, AR, 72202", ,accessibility@philander.edu,
